id,name,type,role,sex,Showkategorie,Charts,Platz,Spotify,Instagram
che,Chima Ede,1,5,2,NA,1,NA,48169,12300
ems,Emilio Sakraya Moutaoukkil,1,5,2,NA,1,NA,763273,591000
jap,Jan Platt,1,5,2,NA,1,NA,-1,NA
ta,Timothy Auld,1,5,2,NA,1,NA,5990,4472
db,Daniel Bras da Costa,1,5,2,NA,1,NA,-1,NA
fra,Fraz,1,5,2,NA,1,NA,-1,NA
bok,Boki,1,5,2,NA,1,NA,-1,NA
hd,Hubertus Dahlem,1,5,2,NA,1,NA,-1,3263
gel,Gellero,1,5,2,NA,1,NA,14050,2568
mk,Mariel Kirschall,1,5,1,NA,1,NA,-1,8722
adg,Adrian Giessinger,1,5,2,NA,1,NA,110,1484
alz,Alex Zind,1,5,2,NA,1,NA,53050,12300
wp,Wolfgang Pammer,1,5,2,NA,1,NA,-1,943
pk,Paul Katzmayr,1,5,2,NA,1,NA,-1,1541
pn,Peter Neuhofer,1,5,2,NA,1,NA,-1,415
fn,Fabio Niehaus,1,5,2,NA,1,NA,-1,693
kap,Kay Petersen,1,5,2,NA,1,NA,-1,969
magl,Magnus Landsberg,1,5,2,NA,1,NA,-1,1250
mm,Matthias Mania,1,5,2,NA,1,NA,3348,2838
dg,Daniel Großmann,1,5,2,NA,1,NA,86022,NA
esg,Esther Graf,1,5,1,NA,2,NA,1048181,49500
and,Andreas Dopp,1,5,2,NA,1,NA,113,141
eb,Elin Bell,1,5,1,NA,1,NA,800,1716
jak,Jakob Kleij,1,5,2,NA,1,NA,-1,1291
mn,Mareike Plota-Neumann,1,5,1,NA,1,NA,-1,376
adb,Adam Basedow,1,5,2,NA,1,NA,-1,1469
lo,Liza Ohm,1,5,1,NA,1,NA,-1,658
bh,Benjamin Herbst,1,5,2,NA,1,NA,-1,NA
tis,Tim Steiner,1,5,2,NA,1,NA,-1,1102
lis,Linda Stark,1,5,1,NA,1,NA,-1,1259
dab,David Bonk,1,5,2,NA,1,NA,390,NA
jub,Julia Bergen,1,5,1,NA,1,NA,48449,117000
lb,Ludi Boberg,1,5,2,NA,1,NA,-1,NA
jn,Julian Neumann,1,5,1,NA,1,NA,195,1622
dn,Daniel Nitt,1,5,2,NA,1,NA,41307,4141
daj,Daju,1,5,3,NA,1,NA,-1,1835
sp,Stephan Piez,1,5,2,NA,1,NA,-1,663
feg,Felix Gerlach,1,5,2,NA,1,NA,-1,2992
fd,Frieder Does,1,5,2,NA,1,NA,1272,3652
eh,Elias Hadjeus,1,5,2,NA,1,NA,-1,1131
fk,Florian Künstler,1,5,2,NA,2,NA,1000574,86700
ths,Thimo Sander,1,5,2,NA,1,NA,118,761
jcj,John Christopher Jr.,1,5,2,NA,1,NA,287,NA
wt,Wayne Thompson,1,5,2,NA,1,NA,394,NA
marg,Markus Glur,1,5,2,NA,1,NA,10,84
math,Matthias Hardegger,1,5,2,NA,1,NA,-1,NA
jakn,Jan Knecht,1,5,2,NA,1,NA,-1,NA
