id,name,type,role,sex,Showkategorie,Charts,Platz,Spotify,Instagram 
gz,Giovanni Zarrella,1,4,2,0,2,0,201107,370000
btk,Bill und Tom Kaulitz,1,4,2,0,4,0,0,0
shd,Shirin David,1,4,1,0,4,0,2269113,65000000
rk,Ronan Keating,1,4,2,0,4,0,4061715,0
rg,Rea Garvey,1,4,2,0,4,0,1139244,339000
ed,Elif Demirezer,1,4,1,0,4,0,789472,257000
am,Alice Merton,1,4,1,0,2,0,2307016,162000
sid,Sido,1,4,2,0,4,0,5045450,13000000
mr,Mathias Ramson,1,5,2,0,1,0,0,1310
js,Jens Schneider,1,5,2,0,1,0,0,2523
bb,Boygroup Blue,1,5,2,0,1,0,0,231000
tru,Truva,1,5,2,0,1,0,0,1367
ah,Andreas Herbig,1,5,2,0,1,0,0,0
rm,Ricardo Munoz ,1,5,2,0,1,0,0,14700
km,Katharina Müller,1,5,1,0,1,0,0,0
ia,Imram Abbas ,1,5,2,0,1,0,0,12700
jwka,Jonas W. Karlsson,1,5,2,0,1,0,0,11900
bebb,Benedikt Behnke,1,5,2,0,1,0,0,40000
too,Tom Oehler,1,5,2,0,1,0,0,0
ror,Ron Rauscher,1,5,2,0,1,0,0,236
mans,Manuel Stix,1,5,2,0,1,0,0,11700
maxg,Max Grund,1,5,2,0,1,0,0,13900
mab,Marcus Brosch,1,5,2,0,1,0,0,58
ribe,Ricardo Bettiol,1,5,2,0,1,0,0,1327
anka,Ana Kalandadze,1,5,1,0,1,0,0,11700
sg,Steffen Graef,1,5,2,0,1,0,6,8874
luc,Lucry,1,5,2,0,3,0,6,39500
jw,Joe Walter ,1,5,2,0,1,0,14,10600
pps,Patrick Pyke Salmy,1,5,2,0,1,0,17,3533
kw,Kim Wennerström,1,5,1,0,1,0,17,0
bri,Brix Buchmann,1,5,2,0,1,0,22,3248
lh,Luis Hascher,1,5,2,0,1,0,24,18900
er,Emma Rosen,1,5,1,0,1,0,34,20900
ml,Michelle Leonard ,1,5,1,0,2,0,42,2780
ls,Lillo Scrimali,1,5,2,0,1,0,62,1819
beb,Benjamin Burbulla,1,5,2,0,1,0,91,3135
jk,Jules Kalmbacher,1,5,1,0,1,0,161,2439
ts,Thomas Stengaard,1,5,2,0,1,0,268,1915
phs,Phil Speiser,1,5,2,0,1,0,596,45300
pr,Pascal Reinhardt,1,5,2,0,1,0,719,4523
aba,Abaz,1,5,2,0,1,0,1247,44200
sue,Suena,1,5,1,0,2,0,2019,15100
df,Daniel Flamm ,1,5,2,0,1,0,2857,1014
jet,Jermaine Theodore,1,5,2,0,1,0,4932,25500
cl,Christopher Lass,1,5,2,0,1,0,5575,3499
pl,Patrick Liegl,1,5,2,0,1,0,12715,0
mok,Moritz Kochs,1,5,2,0,1,0,13634,5448
gel,Gellero,1,5,2,0,1,0,14050,2568
monra,Monrath,1,5,2,0,1,0,14931,1200
rab ,Ray Bryan,1,5,2,0,1,0,16008,15300
tij,Tim James,1,5,2,0,1,0,17601,0
bo,B-OK,1,5,2,0,1,0,21096,2094
lat,Lawrence Taylor,1,5,2,0,1,0,22391,3966
seh,Sebastian Horn,1,5,2,0,1,0,23406,0
ph,Peter Hoffmann,1,5,2,0,1,0,26724,0
rp,Reed Pittman,1,5,2,0,1,0,27907,2350
scv,SCVN,1,5,2,0,1,0,28186,0
kp,Karin Park,1,5,1,0,1,0,29583,6338
stc,Stuart Crichton,1,5,2,0,1,0,29846,0
kjm,Kjetil Morland,1,5,2,0,1,0,30055,8459
ni,Nisse Ingwersen,1,5,2,0,1,0,33295,14300
ll,Lukas Linder,1,5,2,0,1,0,36063,16400
lp,Lili Pistorius,1,5,1,0,1,0,37809,55600
dn,Daniel Nitt,1,5,2,0,1,0,41307,4141
che,Chima Ede,1,5,2,0,1,0,48169,12300
jub,Julia Bergen,1,5,1,0,1,0,48449,117000
alz,Alex Zind,1,5,2,0,1,0,53050,12300
fs,Friedrich Steinke,1,5,2,0,1,0,55263,9328
fl,Felicia Lu Kürbiß,1,5,1,0,1,0,66663,55300
tem,Teo Mandrelli,1,5,2,0,1,0,77898,13100
kls,Klaus Sahm,1,5,2,0,1,0,78533,7437
jod,JODA,1,5,3,0,1,0,78839,4167
anl ,Anna Leyne,1,5,1,0,1,0,81350,571
dg,Daniel Großmann,1,5,2,0,1,0,86022,0
jcw,Jean-Cyrille Wittman,1,5,2,0,1,0,93849,2617
nip,Nicolai Potthoff,1,5,1,0,1,0,105813,10800
sdlt,Sofi de la Toree,1,5,1,0,1,0,118855,21000
nos,Noah Slee,1,5,2,0,1,0,128596,11400
al,Alex Lys,1,5,2,0,1,0,146210,7319
obr,OBros,1,5,2,0,1,0,163386,88900
arm,Aron Matthews,1,5,2,0,1,0,177449,13300
sq,Scott Quinn,1,5,2,0,1,0,209005,17300
mis,mishka,1,5,2,0,1,0,215346,10800
meg,Megaloh,1,5,2,0,2,0,222637,61000
tog,Toby Gad ,1,5,2,0,1,0,246430,21600
bea,Beatgees,1,5,2,0,2,0,289351,3681
kr,Kyle Reynolds,1,5,2,0,1,0,303066,0
jah,James Hersey,1,5,2,0,2,0,359841,48500
moa,Morris Albert,1,5,2,0,1,0,405776,0
dh,Dominik Hartz,1,5,2,0,1,0,458240,10900
is,ISAAK,1,5,2,0,2,0,464983,23600
idl,Ilse DeLang ,1,5,1,0,1,0,598395,189000
maga,Martin Gallop,1,5,2,0,1,0,601590,0
div,Diviners,1,5,2,0,1,0,625685,9816
bdd,Brianna Diannie Drain,1,5,1,0,1,0,724745,0
ems,Emilio Sakraya Moutaoukkil,1,5,2,0,1,0,763273,591000
sil,Silbermond,2,5,3,0,4,0,879043,276000
fk,Florian Künstler,1,5,2,0,2,0,1000574,86700
lot,Lotte,1,5,1,0,2,0,1015441,108000
gc,Graham Candy,1,5,2,0,2,0,1033036,10200
esg,Esther Graf,1,5,1,0,2,0,1048181,49500
chh,Charming Horses,1,5,2,0,2,0,1100000,11900
mj,Madeline Juno ,1,5,1,0,3,0,1100691,829000
ng,Noel Gallagher ,1,5,2,0,2,0,1261184,948000
cjg,Christopher John Hutchings,1,5,2,0,1,0,1744837,0
ub,Unknown Brain,1,5,3,0,1,0,1800386,24100
mon,Montez,1,5,2,0,4,0,2545502,228000
hf,Helene Fischer ,1,5,1,0,4,0,2928573,1000000
qua,Quarterhead,1,5,2,0,2,0,3436492,17700
uls,Ulf Leo Sommer,1,5,2,0,1,0,3500000,2286
pp,Peter Plate,1,5,2,0,2,0,3600000,14300
you,YouNotUS,1,5,2,0,3,0,4682809,36700
motr,MoTrip,1,5,2,0,4,0,11000000,219000
njm,Norma Jean Martine,1,5,1,0,2,0,11861597,5409
hab,R3hab,1,5,2,0,2,0,18525936,26000000
se,Staffel 1,2,6,0,0,0,0,0,0
sz,Staffel 2,2,6,0,0,0,0,0,0
sd,Staffel 3,2,6,0,0,0,0,0,0
sv,Staffel 4,2,6,0,0,0,0,0,0
sf,Staffel 5,2,6,0,0,0,0,0,0
ss,Staffel 6,2,6,0,0,0,0,0,0
ssi,Staffel 7,2,6,0,0,0,0,0,0
sa,Staffel 8,2,6,0,0,0,0,0,0
sn,Staffel 9,2,6,0,0,0,0,0,0
sze,Staffel 10,2,6,0,0,0,0,0,0
sel,Staffel 11,2,6,0,0,0,0,0,0
szw,Staffel 12,2,6,0,0,0,0,0,0
sdr,Staffel 13,2,6,0,0,0,0,0,0
